,date,Temperature(℃),Humidity(%RH)
1631,2021-01-30 13:49:19+01:00,11.01,69.07
1630,2021-01-30 13:50:19+01:00,11.05,69.08
1629,2021-01-30 13:51:19+01:00,11.08,69.09
1628,2021-01-30 13:52:19+01:00,11.12,69.1
1627,2021-01-30 13:53:19+01:00,11.16,69.11
1626,2021-01-30 13:54:19+01:00,11.2,69.12
1625,2021-01-30 13:55:19+01:00,11.24,69.13
1624,2021-01-30 13:56:19+01:00,11.2,69.11
1623,2021-01-30 13:57:19+01:00,11.23,69.11
1622,2021-01-30 13:58:19+01:00,11.27,69.12
1621,2021-01-30 13:59:19+01:00,11.31,69.13
1620,2021-01-30 14:00:19+01:00,11.34,69.14
1619,2021-01-30 14:01:19+01:00,11.38,69.15
1618,2021-01-30 14:02:19+01:00,11.42,69.16
1617,2021-01-30 14:03:19+01:00,11.45,69.17
1616,2021-01-30 14:04:19+01:00,11.49,69.18
1615,2021-01-30 14:05:19+01:00,11.53,69.19
1614,2021-01-30 14:06:19+01:00,11.5,69.19
1613,2021-01-30 14:07:19+01:00,11.52,69.19
1612,2021-01-30 14:08:19+01:00,11.54,69.18
1611,2021-01-30 14:09:19+01:00,11.57,69.17
1610,2021-01-30 14:10:19+01:00,11.59,69.16
1609,2021-01-30 14:11:19+01:00,11.62,69.15
1608,2021-01-30 14:12:19+01:00,11.64,69.14
1607,2021-01-30 14:13:19+01:00,11.67,69.13
1606,2021-01-30 14:14:19+01:00,11.69,69.12
1605,2021-01-30 14:15:19+01:00,11.72,69.11
1604,2021-01-30 14:16:19+01:00,11.74,69.19
1603,2021-01-30 14:17:19+01:00,11.76,69.18
1602,2021-01-30 14:18:19+01:00,11.78,69.17
1601,2021-01-30 14:19:19+01:00,11.8,69.16
1600,2021-01-30 14:20:19+01:00,11.82,69.15
1599,2021-01-30 14:21:19+01:00,11.84,69.14
1598,2021-01-30 14:22:19+01:00,11.86,69.13
1597,2021-01-30 14:23:19+01:00,11.88,69.12
1596,2021-01-30 14:24:19+01:00,11.9,69.11
