,date,Temperature(℃),Humidity(%RH)
5777,2021-02-20 18:00:05+01:00,15.66,70.73
5776,2021-02-20 18:01:05+01:00,15.67,70.8
5775,2021-02-20 18:02:05+01:00,15.69,70.87
5774,2021-02-20 18:03:05+01:00,15.71,70.94
5773,2021-02-20 18:04:05+01:00,15.73,71.01
5772,2021-02-20 18:05:05+01:00,15.75,71.09
5771,2021-02-20 18:06:05+01:00,15.77,71.09
5770,2021-02-20 18:07:05+01:00,15.78,71.11
5769,2021-02-20 18:08:05+01:00,15.8,71.14
5768,2021-02-20 18:09:05+01:00,15.82,71.17
5767,2021-02-20 18:10:05+01:00,15.83,71.2
5766,2021-02-20 18:11:05+01:00,15.85,71.23
5765,2021-02-20 18:12:05+01:00,15.87,71.26
5764,2021-02-20 18:13:05+01:00,15.88,71.29
5763,2021-02-20 18:14:05+01:00,15.9,71.32
5762,2021-02-20 18:15:05+01:00,15.92,71.35
5761,2021-02-20 18:16:05+01:00,15.94,71.48
5760,2021-02-20 18:17:05+01:00,15.95,71.44
5759,2021-02-20 18:18:05+01:00,15.97,71.4
5758,2021-02-20 18:19:05+01:00,15.98,71.36
5757,2021-02-20 18:20:05+01:00,16.0,71.32
5756,2021-02-20 18:21:05+01:00,16.01,71.28
5755,2021-02-20 18:22:05+01:00,16.03,71.24
5754,2021-02-20 18:23:05+01:00,16.04,71.2
5753,2021-02-20 18:24:05+01:00,16.06,71.16
5752,2021-02-20 18:25:05+01:00,16.08,71.12
5751,2021-02-20 18:26:05+01:00,16.0,71.4
5750,2021-02-20 18:27:05+01:00,16.02,71.43
5749,2021-02-20 18:28:05+01:00,16.05,71.46
5748,2021-02-20 18:29:05+01:00,16.08,71.49
5747,2021-02-20 18:30:05+01:00,16.1,71.52
5746,2021-02-20 18:31:05+01:00,16.13,71.55
