,date,Temperature(℃),Humidity(%RH)
6698,2021-02-20 02:39:05+01:00,5.97,72.0
6697,2021-02-20 02:40:05+01:00,5.96,72.0
6696,2021-02-20 02:41:05+01:00,5.95,72.01
6695,2021-02-20 02:42:05+01:00,5.94,72.01
6694,2021-02-20 02:43:05+01:00,5.93,72.01
6693,2021-02-20 02:44:05+01:00,5.92,72.01
6692,2021-02-20 02:45:05+01:00,5.91,72.02
6691,2021-02-20 02:46:05+01:00,5.99,72.02
6690,2021-02-20 02:47:05+01:00,5.98,72.02
6689,2021-02-20 02:48:05+01:00,5.96,72.03
6688,2021-02-20 02:49:05+01:00,5.94,72.04
6687,2021-02-20 02:50:05+01:00,5.92,72.05
6686,2021-02-20 02:51:05+01:00,5.9,72.05
6685,2021-02-20 02:52:05+01:00,5.88,72.06
6684,2021-02-20 02:53:05+01:00,5.86,72.07
6683,2021-02-20 02:54:05+01:00,5.84,72.08
6682,2021-02-20 02:55:05+01:00,5.82,72.09
6681,2021-02-20 02:56:05+01:00,5.82,72.09
6680,2021-02-20 02:57:05+01:00,5.82,72.09
6679,2021-02-20 02:58:05+01:00,5.81,72.08
6678,2021-02-20 02:59:05+01:00,5.8,72.07
6677,2021-02-20 03:00:05+01:00,5.8,72.06
6676,2021-02-20 03:01:05+01:00,5.79,72.05
6675,2021-02-20 03:02:05+01:00,5.78,72.04
6674,2021-02-20 03:03:05+01:00,5.78,72.03
6673,2021-02-20 03:04:05+01:00,5.77,72.02
6672,2021-02-20 03:05:05+01:00,5.76,72.01
6671,2021-02-20 03:06:05+01:00,5.79,72.01
6670,2021-02-20 03:07:05+01:00,5.79,72.01
6669,2021-02-20 03:08:05+01:00,5.78,72.01
6668,2021-02-20 03:09:05+01:00,5.77,72.01
6667,2021-02-20 03:10:05+01:00,5.76,72.01
6666,2021-02-20 03:11:05+01:00,5.75,72.01
6665,2021-02-20 03:12:05+01:00,5.74,72.01
6664,2021-02-20 03:13:05+01:00,5.73,72.01
6663,2021-02-20 03:14:05+01:00,5.72,72.01
6662,2021-02-20 03:15:05+01:00,5.71,72.01
6661,2021-02-20 03:16:05+01:00,5.68,72.0
6660,2021-02-20 03:17:05+01:00,5.68,72.0
6659,2021-02-20 03:18:05+01:00,5.67,72.0
6658,2021-02-20 03:19:05+01:00,5.66,72.01
6657,2021-02-20 03:20:05+01:00,5.66,72.01
6656,2021-02-20 03:21:05+01:00,5.65,72.02
6655,2021-02-20 03:22:05+01:00,5.64,72.02
6654,2021-02-20 03:23:05+01:00,5.64,72.03
6653,2021-02-20 03:24:05+01:00,5.63,72.03
6652,2021-02-20 03:25:05+01:00,5.62,72.04
6651,2021-02-20 03:26:05+01:00,5.69,72.0
6650,2021-02-20 03:27:05+01:00,5.68,72.0
6649,2021-02-20 03:28:05+01:00,5.66,72.0
6648,2021-02-20 03:29:05+01:00,5.65,72.01
6647,2021-02-20 03:30:05+01:00,5.63,72.01
6646,2021-02-20 03:31:05+01:00,5.62,72.01
6645,2021-02-20 03:32:05+01:00,5.6,72.02
6644,2021-02-20 03:33:05+01:00,5.59,72.02
6643,2021-02-20 03:34:05+01:00,5.57,72.02
6642,2021-02-20 03:35:05+01:00,5.55,72.03
6641,2021-02-20 03:36:05+01:00,5.58,72.03
6640,2021-02-20 03:37:05+01:00,5.58,72.03
6639,2021-02-20 03:38:05+01:00,5.57,72.03
6638,2021-02-20 03:39:05+01:00,5.56,72.03
6637,2021-02-20 03:40:05+01:00,5.55,72.03
6636,2021-02-20 03:41:05+01:00,5.54,72.03
6635,2021-02-20 03:42:05+01:00,5.53,72.03
6634,2021-02-20 03:43:05+01:00,5.52,72.03
6633,2021-02-20 03:44:05+01:00,5.51,72.03
6632,2021-02-20 03:45:05+01:00,5.5,72.03
6631,2021-02-20 03:46:05+01:00,5.49,72.03
6630,2021-02-20 03:47:05+01:00,5.49,72.03
6629,2021-02-20 03:48:05+01:00,5.48,72.03
6628,2021-02-20 03:49:05+01:00,5.47,72.03
6627,2021-02-20 03:50:05+01:00,5.47,72.03
6626,2021-02-20 03:51:05+01:00,5.46,72.03
6625,2021-02-20 03:52:05+01:00,5.45,72.03
6624,2021-02-20 03:53:05+01:00,5.45,72.03
6623,2021-02-20 03:54:05+01:00,5.44,72.03
6622,2021-02-20 03:55:05+01:00,5.43,72.03
6621,2021-02-20 03:56:05+01:00,5.48,72.03
6620,2021-02-20 03:57:05+01:00,5.47,72.03
6619,2021-02-20 03:58:05+01:00,5.46,72.03
6618,2021-02-20 03:59:05+01:00,5.45,72.02
6617,2021-02-20 04:00:05+01:00,5.44,72.02
6616,2021-02-20 04:01:05+01:00,5.42,72.02
6615,2021-02-20 04:02:05+01:00,5.41,72.01
6614,2021-02-20 04:03:05+01:00,5.4,72.01
6613,2021-02-20 04:04:05+01:00,5.39,72.01
6612,2021-02-20 04:05:05+01:00,5.37,72.0
6611,2021-02-20 04:06:05+01:00,5.36,72.0
6610,2021-02-20 04:07:05+01:00,5.36,72.0
6609,2021-02-20 04:08:05+01:00,5.35,72.0
6608,2021-02-20 04:09:05+01:00,5.34,72.0
6607,2021-02-20 04:10:05+01:00,5.34,72.0
6606,2021-02-20 04:11:05+01:00,5.33,72.01
6605,2021-02-20 04:12:05+01:00,5.32,72.01
6604,2021-02-20 04:13:05+01:00,5.32,72.01
6603,2021-02-20 04:14:05+01:00,5.31,72.01
6602,2021-02-20 04:15:05+01:00,5.3,72.02
6601,2021-02-20 04:16:05+01:00,5.39,72.0
6600,2021-02-20 04:17:05+01:00,5.38,72.0
6599,2021-02-20 04:18:05+01:00,5.37,72.0
6598,2021-02-20 04:19:05+01:00,5.35,72.0
6597,2021-02-20 04:20:05+01:00,5.34,72.0
6596,2021-02-20 04:21:05+01:00,5.32,72.01
6595,2021-02-20 04:22:05+01:00,5.31,72.01
6594,2021-02-20 04:23:05+01:00,5.29,72.01
6593,2021-02-20 04:24:05+01:00,5.28,72.01
6592,2021-02-20 04:25:05+01:00,5.26,72.02
6591,2021-02-20 04:26:05+01:00,5.25,72.0
6590,2021-02-20 04:27:05+01:00,5.25,72.0
6589,2021-02-20 04:28:05+01:00,5.25,72.0
6588,2021-02-20 04:29:05+01:00,5.24,72.0
6587,2021-02-20 04:30:05+01:00,5.24,72.0
6586,2021-02-20 04:31:05+01:00,5.23,72.0
6585,2021-02-20 04:32:05+01:00,5.23,72.0
6584,2021-02-20 04:33:05+01:00,5.22,72.0
6583,2021-02-20 04:34:05+01:00,5.22,72.0
6582,2021-02-20 04:35:05+01:00,5.21,72.0
6581,2021-02-20 04:36:05+01:00,5.2,72.06
6580,2021-02-20 04:37:05+01:00,5.2,72.06
6579,2021-02-20 04:38:05+01:00,5.19,72.06
6578,2021-02-20 04:39:05+01:00,5.19,72.06
6577,2021-02-20 04:40:05+01:00,5.18,72.06
6576,2021-02-20 04:41:05+01:00,5.18,72.06
6575,2021-02-20 04:42:05+01:00,5.17,72.06
6574,2021-02-20 04:43:05+01:00,5.17,72.06
6573,2021-02-20 04:44:05+01:00,5.16,72.06
6572,2021-02-20 04:45:05+01:00,5.15,72.06
6571,2021-02-20 04:46:05+01:00,5.16,72.06
6570,2021-02-20 04:47:05+01:00,5.16,72.06
6569,2021-02-20 04:48:05+01:00,5.16,72.06
6568,2021-02-20 04:49:05+01:00,5.15,72.06
6567,2021-02-20 04:50:05+01:00,5.15,72.06
6566,2021-02-20 04:51:05+01:00,5.14,72.05
6565,2021-02-20 04:52:05+01:00,5.14,72.05
6564,2021-02-20 04:53:05+01:00,5.13,72.05
6563,2021-02-20 04:54:05+01:00,5.13,72.05
6562,2021-02-20 04:55:05+01:00,5.12,72.04
6561,2021-02-20 04:56:05+01:00,5.07,72.04
6560,2021-02-20 04:57:05+01:00,5.08,72.04
6559,2021-02-20 04:58:05+01:00,5.09,72.04
6558,2021-02-20 04:59:05+01:00,5.11,72.03
6557,2021-02-20 05:00:05+01:00,5.12,72.03
6556,2021-02-20 05:01:05+01:00,5.13,72.03
6555,2021-02-20 05:02:05+01:00,5.15,72.02
6554,2021-02-20 05:03:05+01:00,5.16,72.02
6553,2021-02-20 05:04:05+01:00,5.17,72.02
6552,2021-02-20 05:05:05+01:00,5.19,72.01
6551,2021-02-20 05:06:05+01:00,5.07,72.01
6550,2021-02-20 05:07:05+01:00,5.07,72.01
6549,2021-02-20 05:08:05+01:00,5.07,72.02
6548,2021-02-20 05:09:05+01:00,5.06,72.03
6547,2021-02-20 05:10:05+01:00,5.06,72.04
6546,2021-02-20 05:11:05+01:00,5.05,72.04
6545,2021-02-20 05:12:05+01:00,5.05,72.05
6544,2021-02-20 05:13:05+01:00,5.04,72.06
6543,2021-02-20 05:14:05+01:00,5.04,72.07
6542,2021-02-20 05:15:05+01:00,5.03,72.08
6541,2021-02-20 05:16:05+01:00,5.0,72.06
6540,2021-02-20 05:17:05+01:00,5.01,72.06
6539,2021-02-20 05:18:05+01:00,5.02,72.06
6538,2021-02-20 05:19:05+01:00,5.03,72.05
6537,2021-02-20 05:20:05+01:00,5.04,72.05
6536,2021-02-20 05:21:05+01:00,5.05,72.05
6535,2021-02-20 05:22:05+01:00,5.06,72.04
6534,2021-02-20 05:23:05+01:00,5.07,72.04
6533,2021-02-20 05:24:05+01:00,5.08,72.04
6532,2021-02-20 05:25:05+01:00,5.09,72.03
6531,2021-02-20 05:26:05+01:00,4.98,72.01
6530,2021-02-20 05:27:05+01:00,4.98,72.01
6529,2021-02-20 05:28:05+01:00,4.98,72.02
6528,2021-02-20 05:29:05+01:00,4.97,72.02
6527,2021-02-20 05:30:05+01:00,4.97,72.03
6526,2021-02-20 05:31:05+01:00,4.96,72.03
6525,2021-02-20 05:32:05+01:00,4.96,72.04
6524,2021-02-20 05:33:05+01:00,4.95,72.04
6523,2021-02-20 05:34:05+01:00,4.95,72.05
6522,2021-02-20 05:35:05+01:00,4.94,72.06
6521,2021-02-20 05:36:05+01:00,4.95,72.01
6520,2021-02-20 05:37:05+01:00,4.95,72.01
6519,2021-02-20 05:38:05+01:00,4.95,72.0
6518,2021-02-20 05:39:05+01:00,4.94,71.99
6517,2021-02-20 05:40:05+01:00,4.94,71.99
6516,2021-02-20 05:41:05+01:00,4.93,71.98
6515,2021-02-20 05:42:05+01:00,4.93,71.97
6514,2021-02-20 05:43:05+01:00,4.92,71.97
6513,2021-02-20 05:44:05+01:00,4.92,71.96
6512,2021-02-20 05:45:05+01:00,4.91,71.95
6511,2021-02-20 05:46:05+01:00,4.87,71.95
6510,2021-02-20 05:47:05+01:00,4.88,71.95
6509,2021-02-20 05:48:05+01:00,4.89,71.95
6508,2021-02-20 05:49:05+01:00,4.91,71.94
6507,2021-02-20 05:50:05+01:00,4.92,71.94
6506,2021-02-20 05:51:05+01:00,4.93,71.93
6505,2021-02-20 05:52:05+01:00,4.95,71.93
6504,2021-02-20 05:53:05+01:00,4.96,71.92
6503,2021-02-20 05:54:05+01:00,4.97,71.92
6502,2021-02-20 05:55:05+01:00,4.99,71.91
6501,2021-02-20 05:56:05+01:00,4.86,71.91
6500,2021-02-20 05:57:05+01:00,4.86,71.9
6499,2021-02-20 05:58:05+01:00,4.86,71.89
6498,2021-02-20 05:59:05+01:00,4.85,71.88
6497,2021-02-20 06:00:05+01:00,4.85,71.87
6496,2021-02-20 06:01:05+01:00,4.85,71.86
6495,2021-02-20 06:02:05+01:00,4.84,71.85
6494,2021-02-20 06:03:05+01:00,4.84,71.84
6493,2021-02-20 06:04:05+01:00,4.84,71.83
6492,2021-02-20 06:05:05+01:00,4.83,71.81
6491,2021-02-20 06:06:05+01:00,4.8,71.8
6490,2021-02-20 06:07:05+01:00,4.81,71.8
6489,2021-02-20 06:08:05+01:00,4.82,71.81
6488,2021-02-20 06:09:05+01:00,4.83,71.81
6487,2021-02-20 06:10:05+01:00,4.84,71.82
6486,2021-02-20 06:11:05+01:00,4.85,71.82
6485,2021-02-20 06:12:05+01:00,4.86,71.83
6484,2021-02-20 06:13:05+01:00,4.87,71.83
6483,2021-02-20 06:14:05+01:00,4.88,71.84
6482,2021-02-20 06:15:05+01:00,4.89,71.85
6481,2021-02-20 06:16:05+01:00,4.89,71.8
6480,2021-02-20 06:17:05+01:00,4.88,71.8
6479,2021-02-20 06:18:05+01:00,4.87,71.79
6478,2021-02-20 06:19:05+01:00,4.85,71.78
6477,2021-02-20 06:20:05+01:00,4.84,71.78
6476,2021-02-20 06:21:05+01:00,4.82,71.77
6475,2021-02-20 06:22:05+01:00,4.81,71.76
6474,2021-02-20 06:23:05+01:00,4.79,71.76
6473,2021-02-20 06:24:05+01:00,4.78,71.75
6472,2021-02-20 06:25:05+01:00,4.76,71.74
6471,2021-02-20 06:26:05+01:00,4.76,71.74
6470,2021-02-20 06:27:05+01:00,4.76,71.74
6469,2021-02-20 06:28:05+01:00,4.76,71.73
6468,2021-02-20 06:29:05+01:00,4.75,71.73
6467,2021-02-20 06:30:05+01:00,4.75,71.72
6466,2021-02-20 06:31:05+01:00,4.75,71.72
6465,2021-02-20 06:32:05+01:00,4.74,71.71
6464,2021-02-20 06:33:05+01:00,4.74,71.71
6463,2021-02-20 06:34:05+01:00,4.74,71.7
6462,2021-02-20 06:35:05+01:00,4.73,71.69
6461,2021-02-20 06:36:05+01:00,4.74,71.69
6460,2021-02-20 06:37:05+01:00,4.74,71.69
6459,2021-02-20 06:38:05+01:00,4.74,71.69
6458,2021-02-20 06:39:05+01:00,4.73,71.68
6457,2021-02-20 06:40:05+01:00,4.73,71.68
6456,2021-02-20 06:41:05+01:00,4.73,71.68
6455,2021-02-20 06:42:05+01:00,4.72,71.67
6454,2021-02-20 06:43:05+01:00,4.72,71.67
6453,2021-02-20 06:44:05+01:00,4.72,71.67
6452,2021-02-20 06:45:05+01:00,4.71,71.66
6451,2021-02-20 06:46:05+01:00,4.7,71.66
6450,2021-02-20 06:47:05+01:00,4.71,71.66
6449,2021-02-20 06:48:05+01:00,4.72,71.66
6448,2021-02-20 06:49:05+01:00,4.73,71.65
6447,2021-02-20 06:50:05+01:00,4.74,71.65
6446,2021-02-20 06:51:05+01:00,4.75,71.64
6445,2021-02-20 06:52:05+01:00,4.76,71.64
6444,2021-02-20 06:53:05+01:00,4.77,71.63
6443,2021-02-20 06:54:05+01:00,4.78,71.63
6442,2021-02-20 06:55:05+01:00,4.79,71.62
6441,2021-02-20 06:56:05+01:00,4.69,71.62
6440,2021-02-20 06:57:05+01:00,4.69,71.62
6439,2021-02-20 06:58:05+01:00,4.69,71.62
6438,2021-02-20 06:59:05+01:00,4.68,71.61
6437,2021-02-20 07:00:05+01:00,4.68,71.61
6436,2021-02-20 07:01:05+01:00,4.68,71.61
6435,2021-02-20 07:02:05+01:00,4.67,71.6
6434,2021-02-20 07:03:05+01:00,4.67,71.6
6433,2021-02-20 07:04:05+01:00,4.67,71.6
6432,2021-02-20 07:05:05+01:00,4.66,71.59
6431,2021-02-20 07:06:05+01:00,4.67,71.59
6430,2021-02-20 07:07:05+01:00,4.67,71.59
6429,2021-02-20 07:08:05+01:00,4.67,71.58
6428,2021-02-20 07:09:05+01:00,4.66,71.58
6427,2021-02-20 07:10:05+01:00,4.66,71.57
6426,2021-02-20 07:11:05+01:00,4.66,71.57
6425,2021-02-20 07:12:05+01:00,4.65,71.56
6424,2021-02-20 07:13:05+01:00,4.65,71.56
6423,2021-02-20 07:14:05+01:00,4.65,71.55
6422,2021-02-20 07:15:05+01:00,4.64,71.54
6421,2021-02-20 07:16:05+01:00,4.65,71.49
6420,2021-02-20 07:17:05+01:00,4.65,71.5
6419,2021-02-20 07:18:05+01:00,4.65,71.51
6418,2021-02-20 07:19:05+01:00,4.64,71.52
6417,2021-02-20 07:20:05+01:00,4.64,71.53
6416,2021-02-20 07:21:05+01:00,4.64,71.54
6415,2021-02-20 07:22:05+01:00,4.63,71.55
6414,2021-02-20 07:23:05+01:00,4.63,71.56
6413,2021-02-20 07:24:05+01:00,4.63,71.57
6412,2021-02-20 07:25:05+01:00,4.62,71.59
6411,2021-02-20 07:26:05+01:00,4.6,71.49
6410,2021-02-20 07:27:05+01:00,4.61,71.49
6409,2021-02-20 07:28:05+01:00,4.62,71.48
6408,2021-02-20 07:29:05+01:00,4.63,71.47
6407,2021-02-20 07:30:05+01:00,4.64,71.47
6406,2021-02-20 07:31:05+01:00,4.65,71.46
6405,2021-02-20 07:32:05+01:00,4.66,71.45
6404,2021-02-20 07:33:05+01:00,4.67,71.45
6403,2021-02-20 07:34:05+01:00,4.68,71.44
6402,2021-02-20 07:35:05+01:00,4.69,71.43
6401,2021-02-20 07:36:05+01:00,4.69,71.43
6400,2021-02-20 07:37:05+01:00,4.67,71.43
6399,2021-02-20 07:38:05+01:00,4.65,71.43
6398,2021-02-20 07:39:05+01:00,4.63,71.42
6397,2021-02-20 07:40:05+01:00,4.61,71.42
6396,2021-02-20 07:41:05+01:00,4.59,71.41
6395,2021-02-20 07:42:05+01:00,4.57,71.41
6394,2021-02-20 07:43:05+01:00,4.55,71.4
6393,2021-02-20 07:44:05+01:00,4.53,71.4
6392,2021-02-20 07:45:05+01:00,4.5,71.39
6391,2021-02-20 07:46:05+01:00,4.56,71.39
6390,2021-02-20 07:47:05+01:00,4.56,71.39
6389,2021-02-20 07:48:05+01:00,4.56,71.38
6388,2021-02-20 07:49:05+01:00,4.57,71.37
6387,2021-02-20 07:50:05+01:00,4.57,71.37
6386,2021-02-20 07:51:05+01:00,4.57,71.36
6385,2021-02-20 07:52:05+01:00,4.58,71.35
6384,2021-02-20 07:53:05+01:00,4.58,71.35
6383,2021-02-20 07:54:05+01:00,4.58,71.34
6382,2021-02-20 07:55:05+01:00,4.59,71.33
6381,2021-02-20 07:56:05+01:00,4.57,71.33
6380,2021-02-20 07:57:05+01:00,4.57,71.33
6379,2021-02-20 07:58:05+01:00,4.57,71.32
6378,2021-02-20 07:59:05+01:00,4.56,71.31
6377,2021-02-20 08:00:05+01:00,4.56,71.3
6376,2021-02-20 08:01:05+01:00,4.55,71.3
6375,2021-02-20 08:02:05+01:00,4.55,71.29
6374,2021-02-20 08:03:05+01:00,4.54,71.28
6373,2021-02-20 08:04:05+01:00,4.54,71.27
6372,2021-02-20 08:05:05+01:00,4.53,71.26
6371,2021-02-20 08:06:05+01:00,4.52,71.27
6370,2021-02-20 08:07:05+01:00,4.52,71.27
6369,2021-02-20 08:08:05+01:00,4.52,71.26
6368,2021-02-20 08:09:05+01:00,4.53,71.25
6367,2021-02-20 08:10:05+01:00,4.53,71.25
6366,2021-02-20 08:11:05+01:00,4.53,71.24
6365,2021-02-20 08:12:05+01:00,4.54,71.23
6364,2021-02-20 08:13:05+01:00,4.54,71.23
6363,2021-02-20 08:14:05+01:00,4.54,71.22
6362,2021-02-20 08:15:05+01:00,4.55,71.21
6361,2021-02-20 08:16:05+01:00,4.53,71.28
6360,2021-02-20 08:17:05+01:00,4.53,71.27
6359,2021-02-20 08:18:05+01:00,4.53,71.25
6358,2021-02-20 08:19:05+01:00,4.52,71.23
6357,2021-02-20 08:20:05+01:00,4.52,71.21
6356,2021-02-20 08:21:05+01:00,4.52,71.2
6355,2021-02-20 08:22:05+01:00,4.51,71.18
6354,2021-02-20 08:23:05+01:00,4.51,71.16
6353,2021-02-20 08:24:05+01:00,4.51,71.14
6352,2021-02-20 08:25:05+01:00,4.5,71.12
6351,2021-02-20 08:26:05+01:00,4.59,71.14
6350,2021-02-20 08:27:05+01:00,4.58,71.14
6349,2021-02-20 08:28:05+01:00,4.57,71.14
6348,2021-02-20 08:29:05+01:00,4.56,71.15
6347,2021-02-20 08:30:05+01:00,4.55,71.15
6346,2021-02-20 08:31:05+01:00,4.53,71.15
6345,2021-02-20 08:32:05+01:00,4.52,71.16
6344,2021-02-20 08:33:05+01:00,4.51,71.16
6343,2021-02-20 08:34:05+01:00,4.5,71.16
6342,2021-02-20 08:35:05+01:00,4.48,71.17
6341,2021-02-20 08:36:05+01:00,4.48,71.14
6340,2021-02-20 08:37:05+01:00,4.48,71.14
6339,2021-02-20 08:38:05+01:00,4.47,71.13
6338,2021-02-20 08:39:05+01:00,4.46,71.13
6337,2021-02-20 08:40:05+01:00,4.45,71.12
6336,2021-02-20 08:41:05+01:00,4.44,71.12
6335,2021-02-20 08:42:05+01:00,4.43,71.11
6334,2021-02-20 08:43:05+01:00,4.42,71.11
6333,2021-02-20 08:44:05+01:00,4.41,71.1
6332,2021-02-20 08:45:05+01:00,4.4,71.09
6331,2021-02-20 08:46:05+01:00,4.44,71.09
6330,2021-02-20 08:47:05+01:00,4.44,71.09
6329,2021-02-20 08:48:05+01:00,4.44,71.08
6328,2021-02-20 08:49:05+01:00,4.45,71.07
6327,2021-02-20 08:50:05+01:00,4.45,71.06
6326,2021-02-20 08:51:05+01:00,4.45,71.06
6325,2021-02-20 08:52:05+01:00,4.46,71.05
6324,2021-02-20 08:53:05+01:00,4.46,71.04
6323,2021-02-20 08:54:05+01:00,4.46,71.03
6322,2021-02-20 08:55:05+01:00,4.47,71.02
6321,2021-02-20 08:56:05+01:00,4.45,71.05
6320,2021-02-20 08:57:05+01:00,4.45,71.05
6319,2021-02-20 08:58:05+01:00,4.45,71.05
6318,2021-02-20 08:59:05+01:00,4.45,71.06
6317,2021-02-20 09:00:05+01:00,4.45,71.06
6316,2021-02-20 09:01:05+01:00,4.44,71.07
6315,2021-02-20 09:02:05+01:00,4.44,71.07
6314,2021-02-20 09:03:05+01:00,4.44,71.08
6313,2021-02-20 09:04:05+01:00,4.44,71.08
6312,2021-02-20 09:05:05+01:00,4.43,71.09
6311,2021-02-20 09:06:05+01:00,4.42,71.05
6310,2021-02-20 09:07:05+01:00,4.42,71.05
6309,2021-02-20 09:08:05+01:00,4.42,71.05
